epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,36.2209,1.53038,1.0736,1.00724,0.44155,0.8868,0.50088,0.26544,1.61518,1.41507,1.0067,0.000759318,0.000759318,0.000759318
57,36.8043,1.57442,1.05723,1.05335,0.44155,0.8868,0.50088,0.26544,1.61518,1.41507,1.0067,0.000742815,0.000742815,0.000742815
58,37.4236,1.54138,1.08361,1.02224,0.4522,0.84494,0.50034,0.2689,1.59247,1.4474,1.00292,0.000726312,0.000726312,0.000726312
59,38.119,1.4511,1.05408,0.98719,0.4522,0.84494,0.50034,0.2689,1.59247,1.4474,1.00292,0.000709809,0.000709809,0.000709809
60,38.7904,1.46984,1.02103,1.00257,0.45895,0.87813,0.51427,0.26198,1.68884,1.45845,1.02774,0.000693305,0.000693305,0.000693305
61,39.467,1.48698,1.05043,1.00067,0.45895,0.87813,0.51427,0.26198,1.68884,1.45845,1.02774,0.000676802,0.000676802,0.000676802
62,40.1218,1.45141,1.07115,1.01695,0.47919,0.83566,0.57549,0.29306,1.70382,1.40436,1.03605,0.000660299,0.000660299,0.000660299
63,40.9817,1.4759,1.03744,1.00699,0.47919,0.83566,0.57549,0.29306,1.70382,1.40436,1.03605,0.000643795,0.000643795,0.000643795
64,41.6318,1.49195,1.02936,1.00142,0.48851,0.83121,0.63246,0.33128,1.66523,1.35409,1.03,0.000627292,0.000627292,0.000627292
65,42.3143,1.48533,1.04691,1.01203,0.48851,0.83121,0.63246,0.33128,1.66523,1.35409,1.03,0.000610789,0.000610789,0.000610789
66,42.9615,1.48384,1.01988,0.99697,0.48407,0.82821,0.67027,0.35824,1.61584,1.31797,1.01951,0.000594286,0.000594286,0.000594286
67,43.6498,1.482,1.02343,0.99506,0.48407,0.82821,0.67027,0.35824,1.61584,1.31797,1.01951,0.000577782,0.000577782,0.000577782
68,44.2989,1.46013,1.028,0.99911,0.51173,0.74291,0.67542,0.36733,1.56349,1.30929,1.0071,0.000561279,0.000561279,0.000561279
69,44.9515,1.45095,1.0007,1.00034,0.51173,0.74291,0.67542,0.36733,1.56349,1.30929,1.0071,0.000544776,0.000544776,0.000544776
70,45.5816,1.45155,0.9771,1.01592,0.49262,0.76396,0.66928,0.35957,1.59095,1.32339,1.01348,0.000528272,0.000528272,0.000528272
71,46.2051,1.4479,0.98593,0.9955,0.49262,0.76396,0.66928,0.35957,1.59095,1.32339,1.01348,0.000511769,0.000511769,0.000511769
72,46.8204,1.42738,1.02182,1.01663,0.44772,0.89787,0.64607,0.34681,1.6059,1.34424,1.0145,0.000495266,0.000495266,0.000495266
73,47.4539,1.45646,1.00699,0.98224,0.44772,0.89787,0.64607,0.34681,1.6059,1.34424,1.0145,0.000478762,0.000478762,0.000478762
74,48.376,1.46941,1.01767,0.99334,0.43977,0.90793,0.60231,0.33076,1.58606,1.38019,1.00587,0.000462259,0.000462259,0.000462259
75,49.2394,1.43374,0.95867,0.96726,0.43977,0.90793,0.60231,0.33076,1.58606,1.38019,1.00587,0.000445756,0.000445756,0.000445756
76,49.8865,1.41541,0.94883,0.97849,0.43984,0.93326,0.56936,0.30918,1.57876,1.3986,1.00171,0.000429253,0.000429253,0.000429253
77,50.4871,1.46468,1.02485,1.00467,0.43984,0.93326,0.56936,0.30918,1.57876,1.3986,1.00171,0.000412749,0.000412749,0.000412749
78,51.1639,1.41902,0.96565,1.00009,0.43963,0.92999,0.56117,0.30286,1.59455,1.39566,1.00602,0.000396246,0.000396246,0.000396246
79,51.8015,1.42898,0.89459,0.9802,0.43963,0.92999,0.56117,0.30286,1.59455,1.39566,1.00602,0.000379743,0.000379743,0.000379743
80,52.4089,1.4548,1.02455,1.01335,0.44064,0.93142,0.57963,0.31293,1.60094,1.35976,1.0092,0.000363239,0.000363239,0.000363239
81,53.0522,1.45649,1.02476,0.97076,0.44064,0.93142,0.57963,0.31293,1.60094,1.35976,1.0092,0.000346736,0.000346736,0.000346736
82,53.7046,1.45286,0.97429,0.9959,0.44196,0.93502,0.60525,0.32548,1.60344,1.32262,1.01215,0.000330233,0.000330233,0.000330233
83,54.3127,1.43605,0.97725,1.02348,0.44196,0.93502,0.60525,0.32548,1.60344,1.32262,1.01215,0.000313729,0.000313729,0.000313729
84,54.9262,1.41663,0.98279,1.00515,0.43912,0.91577,0.6449,0.34338,1.60393,1.27142,1.01491,0.000297226,0.000297226,0.000297226
85,55.853,1.43333,0.99001,0.9683,0.43912,0.91577,0.6449,0.34338,1.60393,1.27142,1.01491,0.000280723,0.000280723,0.000280723
86,56.6807,1.44532,0.95727,0.99781,0.44138,0.90581,0.661,0.3529,1.59073,1.24634,1.01167,0.00026422,0.00026422,0.00026422
87,57.2894,1.3485,0.90952,0.98119,0.44138,0.90581,0.661,0.3529,1.59073,1.24634,1.01167,0.000247716,0.000247716,0.000247716
88,57.8882,1.47141,1.03325,1.05309,0.53634,0.66766,0.66985,0.35719,1.58361,1.24015,1.01103,0.000231213,0.000231213,0.000231213
89,58.47,1.44546,0.99108,1.0494,0.53634,0.66766,0.66985,0.35719,1.58361,1.24015,1.01103,0.00021471,0.00021471,0.00021471
90,59.109,1.42849,0.9855,0.98547,0.53863,0.6644,0.66992,0.35949,1.58332,1.22693,1.01212,0.000198206,0.000198206,0.000198206
91,76.7924,1.41058,0.94848,0.99293,0.53863,0.6644,0.66992,0.35949,1.58332,1.22693,1.01212,0.000181703,0.000181703,0.000181703
92,77.4206,1.4261,0.99003,1.04413,0.53906,0.65886,0.66834,0.35578,1.59169,1.2303,1.01599,0.0001652,0.0001652,0.0001652
93,78.0214,1.39858,0.96882,1.01324,0.53906,0.65886,0.66834,0.35578,1.59169,1.2303,1.01599,0.000148696,0.000148696,0.000148696
94,78.6311,1.40419,0.94509,1.00551,0.46475,0.82249,0.66683,0.35471,1.6007,1.23214,1.01918,0.000132193,0.000132193,0.000132193
95,79.2115,1.40835,0.94863,1.03949,0.46475,0.82249,0.66683,0.35471,1.6007,1.23214,1.01918,0.00011569,0.00011569,0.00011569
96,79.8211,1.40021,0.95141,1.00205,0.46739,0.82132,0.66203,0.35238,1.60626,1.23338,1.02131,9.91865e-05,9.91865e-05,9.91865e-05
97,80.4116,1.41532,0.93548,0.9998,0.46739,0.82132,0.66203,0.35238,1.60626,1.23338,1.02131,8.26832e-05,8.26832e-05,8.26832e-05
98,81.0003,1.40149,0.93062,1.00072,0.4703,0.80929,0.66209,0.3528,1.60733,1.23528,1.0222,6.61799e-05,6.61799e-05,6.61799e-05
99,81.5955,1.38926,0.91335,0.99394,0.4703,0.80929,0.66209,0.3528,1.60733,1.23528,1.0222,4.96766e-05,4.96766e-05,4.96766e-05
100,82.1894,1.39173,0.98197,1.05327,0.47594,0.8013,0.66007,0.35184,1.60561,1.23861,1.02196,3.31733e-05,3.31733e-05,3.31733e-05
