epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,6259.96,0.83767,0.48978,0.8815,0.84223,0.62772,0.758,0.53206,1.15493,1.22938,0.97653,0.000713,0.000713,0.000713
67,6352.21,0.82513,0.49551,0.88078,0.87202,0.55451,0.73094,0.51649,1.18059,1.45619,0.99898,0.0006932,0.0006932,0.0006932
68,6447.57,0.83226,0.48932,0.87927,0.87603,0.52034,0.72424,0.50345,1.27308,1.50924,1.03133,0.0006734,0.0006734,0.0006734
69,6546.26,0.82587,0.49163,0.87869,0.88872,0.61172,0.75892,0.54999,1.17366,1.25857,0.98879,0.0006536,0.0006536,0.0006536
70,6643.92,0.83706,0.47754,0.8823,0.8437,0.52305,0.70377,0.47871,1.25282,1.50291,1.02218,0.0006338,0.0006338,0.0006338
71,6736.92,0.82034,0.47845,0.88051,0.86632,0.50728,0.68107,0.47272,1.26803,1.50362,1.03101,0.000614,0.000614,0.000614
72,6830.22,0.8172,0.4822,0.87987,0.90061,0.36759,0.54955,0.37669,1.51237,2.00747,1.16729,0.0005942,0.0005942,0.0005942
73,6922.92,0.8234,0.4715,0.87799,0.87554,0.60897,0.72687,0.51662,1.18708,1.19354,0.99709,0.0005744,0.0005744,0.0005744
74,7018.96,0.80978,0.48816,0.87607,0.86523,0.60214,0.76211,0.52368,1.18703,1.35071,0.98453,0.0005546,0.0005546,0.0005546
75,7113.16,0.81424,0.46992,0.87776,0.89833,0.51621,0.68774,0.47804,1.29055,1.51883,1.02291,0.0005348,0.0005348,0.0005348
76,7212.27,0.81012,0.46495,0.87309,0.86141,0.57867,0.683,0.49035,1.27622,1.23961,1.03389,0.000515,0.000515,0.000515
77,7308.75,0.82123,0.46633,0.87992,0.86353,0.42984,0.58632,0.40553,1.51946,1.74225,1.16508,0.0004952,0.0004952,0.0004952
78,7402.23,0.80471,0.46564,0.87397,0.88367,0.42694,0.64358,0.4329,1.41437,1.72173,1.1174,0.0004754,0.0004754,0.0004754
79,7497.51,0.80276,0.45258,0.87445,0.86679,0.43528,0.63063,0.43543,1.45799,1.76591,1.09276,0.0004556,0.0004556,0.0004556
80,7589.2,0.79007,0.44579,0.87212,0.89998,0.44552,0.65935,0.46512,1.33491,1.75315,1.05465,0.0004358,0.0004358,0.0004358
81,7682.62,0.79609,0.44642,0.87015,0.89195,0.38713,0.59815,0.41619,1.53573,1.92038,1.12519,0.000416,0.000416,0.000416
82,7781.09,0.78763,0.43055,0.8688,0.87832,0.34101,0.5532,0.38985,1.68637,2.06752,1.19741,0.0003962,0.0003962,0.0003962
